group_label,support_count,n_total_customers,n_with_trait,churned_with_trait,churn_rate_with,churn_rate_with_wilson_lower,churn_rate_with_wilson_upper,n_without_trait,churned_without_trait,churn_rate_without,churn_rate_without_wilson_lower,churn_rate_without_wilson_upper,lift,note
frequency bucket = low,275,600,275,175,0.6364,0.5780,0.6910,325,31,0.0954,0.0680,0.1322,6.6716,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
monetary bucket = low,200,600,200,141,0.7050,0.6384,0.7639,400,65,0.1625,0.1296,0.2018,4.3385,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> B,427,600,427,167,0.3911,0.3460,0.4382,173,39,0.2254,0.1695,0.2933,1.7349,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> B -> E,250,600,250,90,0.3600,0.3030,0.4212,350,116,0.3314,0.2842,0.3823,1.0862,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> B -> B,225,600,225,78,0.3467,0.2875,0.4110,375,128,0.3413,0.2952,0.3907,1.0156,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> B -> C,247,600,247,85,0.3441,0.2877,0.4054,353,121,0.3428,0.2952,0.3937,1.0039,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> B -> D,242,600,242,80,0.3306,0.2744,0.3921,358,126,0.3520,0.3043,0.4028,0.9393,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
monetary bucket = medium,200,600,200,61,0.3050,0.2454,0.3720,400,145,0.3625,0.3169,0.4107,0.8414,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence A -> B -> A,223,600,223,68,0.3049,0.2482,0.3682,377,138,0.3660,0.3190,0.4158,0.8330,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence B -> E,349,600,349,100,0.2865,0.2416,0.3361,251,106,0.4223,0.3628,0.4841,0.6785,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
frequency bucket = medium,125,600,125,31,0.2480,0.1806,0.3305,475,175,0.3684,0.3263,0.4127,0.6731,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
