length,pattern,support_customers
1,A,538
1,B,537
1,E,466
1,C,460
1,D,450
2,A -> B,427
2,A -> E,354
2,B -> C,353
2,A -> C,351
2,B -> E,349
2,B -> D,338
2,A -> D,333
2,B -> A,327
2,A -> A,318
2,B -> B,317
2,D -> E,289
2,D -> C,287
2,C -> E,284
2,E -> E,278
2,C -> D,276
2,E -> C,276
2,D -> B,271
2,D -> D,270
2,C -> C,269
2,D -> A,268
2,E -> B,268
2,E -> D,267
2,E -> A,266
2,C -> B,261
2,C -> A,256
3,A -> B -> E,250
3,A -> B -> C,247
3,A -> B -> D,242
3,A -> B -> B,225
3,A -> B -> A,223
3,A -> C -> E,180
3,B -> D -> E,180
3,B -> C -> E,179
3,A -> D -> C,178
3,B -> D -> C,177
3,A -> D -> E,175
3,B -> C -> D,173
3,A -> C -> D,172
3,B -> A -> E,172
3,A -> D -> B,171
3,B -> D -> A,171
3,A -> C -> C,170
3,A -> A -> E,168
3,B -> D -> B,168
3,B -> E -> A,168
3,B -> C -> C,166
3,A -> E -> A,165
3,B -> C -> B,165
3,A -> C -> B,163
3,B -> E -> C,162
3,B -> C -> A,160
3,A -> D -> A,159
3,B -> A -> C,159
3,B -> E -> E,159
3,A -> E -> B,158
3,A -> A -> C,157
3,A -> A -> D,157
3,A -> E -> C,157
3,B -> A -> A,157
3,A -> D -> D,156
3,A -> E -> E,156
3,B -> B -> E,155
3,B -> D -> D,154
3,B -> E -> B,154
3,A -> A -> A,152
3,D -> C -> E,152
3,D -> D -> E,150
3,A -> E -> D,149
3,B -> A -> D,148
3,D -> E -> E,148
3,A -> A -> B,147
3,B -> E -> D,147
3,D -> C -> D,146
3,A -> C -> A,145
3,D -> A -> E,145
3,C -> D -> C,144
3,D -> C -> C,144
3,D -> E -> A,144
3,B -> A -> B,143
3,D -> B -> E,143
3,D -> D -> C,143
3,E -> D -> E,143
3,C -> D -> A,141
3,D -> D -> D,141
3,E -> A -> E,141
3,B -> B -> D,140
3,C -> D -> B,140
3,D -> B -> D,140
3,E -> D -> B,140
3,E -> D -> C,140
3,C -> A -> E,139
3,C -> D -> E,139
3,B -> B -> C,138
3,D -> A -> C,138
3,D -> B -> C,138
3,D -> D -> B,138
3,D -> E -> C,138
3,E -> C -> E,138
3,B -> B -> A,136
3,D -> D -> A,136
3,E -> B -> E,135
3,E -> E -> C,135
3,E -> E -> D,135
3,C -> D -> D,134
3,C -> E -> A,134
3,C -> C -> E,133
3,D -> E -> D,133
3,E -> E -> E,133
3,C -> B -> A,132
3,C -> B -> E,132
3,D -> A -> D,131
3,D -> C -> B,131
3,B -> B -> B,130
3,D -> A -> A,130
3,E -> B -> C,130
3,D -> A -> B,129
3,D -> C -> A,129
3,D -> E -> B,129
3,E -> A -> B,129
3,E -> B -> D,129
3,E -> D -> A,129
3,D -> B -> A,128
3,E -> C -> C,128
3,E -> A -> C,127
3,E -> E -> A,127
3,C -> E -> D,126
3,D -> B -> B,126
3,C -> E -> E,125
3,E -> A -> A,125
3,E -> C -> D,125
3,E -> D -> D,125
3,C -> A -> A,123
3,C -> A -> B,123
3,C -> A -> C,123
3,C -> E -> B,123
3,C -> E -> C,123
3,E -> B -> A,123
3,E -> C -> A,123
3,C -> B -> D,122
3,C -> C -> C,122
3,C -> C -> B,121
3,C -> C -> D,121
3,E -> A -> D,121
3,E -> B -> B,121
3,E -> C -> B,121
3,C -> A -> D,118
3,C -> B -> C,117
3,E -> E -> B,117
3,C -> C -> A,114
3,C -> B -> B,112
